Date,Year,Catch
Quarter 1,2002,24056
Quarter 1,2003,19200
Quarter 1,2004,22350.71
Quarter 1,2005,43800.52
Quarter 1,2006,23476.92
Quarter 1,2007,20620.23
Quarter 1,2008,30697.84
Quarter 1,2009,45262.59
Quarter 1,2010,41106.08
Quarter 1,2011,21440.83
Quarter 1,2012,17218.14
Quarter 1,2013,22327.92
Quarter 1,2014,17994.35
Quarter 1,2015,20482.88
Quarter 1,2016,22764.37
Quarter 1,2017,18487.88
Quarter 2,2002,43510
Quarter 2,2003,30971
Quarter 2,2004,37715.64
Quarter 2,2005,51926.03
Quarter 2,2006,47911.85
Quarter 2,2007,52123.65
Quarter 2,2008,50360.94
Quarter 2,2009,130458.97
Quarter 2,2010,119194.86
Quarter 2,2011,71247.51
Quarter 2,2012,78630.44
Quarter 2,2013,72956.15
Quarter 2,2014,75769.52
Quarter 2,2015,90484.31
Quarter 2,2016,80574.81
Quarter 2,2017,..
Quarter 3,2002,42523
Quarter 3,2003,41892
Quarter 3,2004,46593
Quarter 3,2005,48877.14
Quarter 3,2006,42299.12
Quarter 3,2007,24027.01
Quarter 3,2008,48746.15
Quarter 3,2009,51161.22
Quarter 3,2010,58907.07
Quarter 3,2011,44920.96
Quarter 3,2012,49118.48
Quarter 3,2013,42408.58
Quarter 3,2014,63160.91
Quarter 3,2015,70911.68
Quarter 3,2016,69449.59
Quarter 3,2017,..
Quarter 4,2002,35790
Quarter 4,2003,37961
Quarter 4,2004,40098.46
Quarter 4,2005,32325.53
Quarter 4,2006,28963.78
Quarter 4,2007,37538.71
Quarter 4,2008,37190.39
Quarter 4,2009,33494.8
Quarter 4,2010,46602.91
Quarter 4,2011,29405.01
Quarter 4,2012,30192.48
Quarter 4,2013,21148.33
Quarter 4,2014,33465.45
Quarter 4,2015,35879.29
Quarter 4,2016,33197.28
Quarter 4,2017,..
