quarter,year,catch,sector
Quarter 1,2002,24056,Commercial
Quarter 1,2003,19200,Commercial
Quarter 1,2004,22350.71,Commercial
Quarter 1,2005,43800.52,Commercial
Quarter 1,2006,23476.92,Commercial
Quarter 1,2007,20620.23,Commercial
Quarter 1,2008,30697.84,Commercial
Quarter 1,2009,45262.59,Commercial
Quarter 1,2010,41106.08,Commercial
Quarter 1,2011,21440.83,Commercial
Quarter 1,2012,17218.14,Commercial
Quarter 1,2013,22327.92,Commercial
Quarter 1,2014,17994.35,Commercial
Quarter 1,2015,20482.88,Commercial
Quarter 1,2016,22764.37,Commercial
Quarter 1,2017,18487.88,Commercial
Quarter 2,2002,43510,Commercial
Quarter 2,2003,30971,Commercial
Quarter 2,2004,37715.64,Commercial
Quarter 2,2005,51926.03,Commercial
Quarter 2,2006,47911.85,Commercial
Quarter 2,2007,52123.65,Commercial
Quarter 2,2008,50360.94,Commercial
Quarter 2,2009,130458.97,Commercial
Quarter 2,2010,119194.86,Commercial
Quarter 2,2011,71247.51,Commercial
Quarter 2,2012,78630.44,Commercial
Quarter 2,2013,72956.15,Commercial
Quarter 2,2014,75769.52,Commercial
Quarter 2,2015,90484.31,Commercial
Quarter 2,2016,80574.81,Commercial
Quarter 3,2002,42523,Commercial
Quarter 3,2003,41892,Commercial
Quarter 3,2004,46593,Commercial
Quarter 3,2005,48877.14,Commercial
Quarter 3,2006,42299.12,Commercial
Quarter 3,2007,24027.01,Commercial
Quarter 3,2008,48746.15,Commercial
Quarter 3,2009,51161.22,Commercial
Quarter 3,2010,58907.07,Commercial
Quarter 3,2011,44920.96,Commercial
Quarter 3,2012,49118.48,Commercial
Quarter 3,2013,42408.58,Commercial
Quarter 3,2014,63160.91,Commercial
Quarter 3,2015,70911.68,Commercial
Quarter 3,2016,69449.59,Commercial
Quarter 4,2002,35790,Commercial
Quarter 4,2003,37961,Commercial
Quarter 4,2004,40098.46,Commercial
Quarter 4,2005,32325.53,Commercial
Quarter 4,2006,28963.78,Commercial
Quarter 4,2007,37538.71,Commercial
Quarter 4,2008,37190.39,Commercial
Quarter 4,2009,33494.8,Commercial
Quarter 4,2010,46602.91,Commercial
Quarter 4,2011,29405.01,Commercial
Quarter 4,2012,30192.48,Commercial
Quarter 4,2013,21148.33,Commercial
Quarter 4,2014,33465.45,Commercial
Quarter 4,2015,35879.29,Commercial
Quarter 4,2016,33197.28,Commercial
Quarter 1,2002,8509,Municipal
Quarter 1,2003,7531,Municipal
Quarter 1,2004,10808.36,Municipal
Quarter 1,2005,15394.69,Municipal
Quarter 1,2006,14075.7,Municipal
Quarter 1,2007,18779.21,Municipal
Quarter 1,2008,18528.5,Municipal
Quarter 1,2009,19640.76,Municipal
Quarter 1,2010,20103.26,Municipal
Quarter 1,2011,15672.6,Municipal
Quarter 1,2012,16793,Municipal
Quarter 1,2013,18551.7,Municipal
Quarter 1,2014,15787.19,Municipal
Quarter 1,2015,19935.3,Municipal
Quarter 1,2016,21549.86,Municipal
Quarter 1,2017,21286.32,Municipal
Quarter 2,2002,7947,Municipal
Quarter 2,2003,11114,Municipal
Quarter 2,2004,12032.44,Municipal
Quarter 2,2005,22759.71,Municipal
Quarter 2,2006,24257.41,Municipal
Quarter 2,2007,25185.14,Municipal
Quarter 2,2008,22231.48,Municipal
Quarter 2,2009,18437.68,Municipal
Quarter 2,2010,21257.4,Municipal
Quarter 2,2011,22266.82,Municipal
Quarter 2,2012,23987.05,Municipal
Quarter 2,2013,23501.72,Municipal
Quarter 2,2014,21656.03,Municipal
Quarter 2,2015,23311.19,Municipal
Quarter 2,2016,23639.96,Municipal
Quarter 3,2002,5662,Municipal
Quarter 3,2003,8334,Municipal
Quarter 3,2004,10036.16,Municipal
Quarter 3,2005,17131.28,Municipal
Quarter 3,2006,13162.52,Municipal
Quarter 3,2007,15074.93,Municipal
Quarter 3,2008,14469.7,Municipal
Quarter 3,2009,12589.01,Municipal
Quarter 3,2010,13090.77,Municipal
Quarter 3,2011,13518.55,Municipal
Quarter 3,2012,15263.68,Municipal
Quarter 3,2013,15715.09,Municipal
Quarter 3,2014,15890.17,Municipal
Quarter 3,2015,17982.92,Municipal
Quarter 3,2016,18444.83,Municipal
Quarter 4,2002,8429,Municipal
Quarter 4,2003,13072,Municipal
Quarter 4,2004,13943.11,Municipal
Quarter 4,2005,14915.4,Municipal
Quarter 4,2006,15497.33,Municipal
Quarter 4,2007,13561.86,Municipal
Quarter 4,2008,13445.49,Municipal
Quarter 4,2009,13083.24,Municipal
Quarter 4,2010,13767.9,Municipal
Quarter 4,2011,14435.14,Municipal
Quarter 4,2012,14854.67,Municipal
Quarter 4,2013,12625.39,Municipal
Quarter 4,2014,12372.87,Municipal
Quarter 4,2015,11667,Municipal
Quarter 4,2016,10852.05,Municipal
