Date,Month,Year,SOI,SOI_3MON_AVG
1951-01-01,Jan,1951,1.5,NA
1951-02-01,Feb,1951,0.9,0.7666666666666666
1951-03-01,Mar,1951,-0.1,0.16666666666666666
1951-04-01,Apr,1951,-0.3,-0.36666666666666664
1951-05-01,May,1951,-0.7,-0.2666666666666666
1951-06-01,Jun,1951,0.2,-0.5
1951-07-01,Jul,1951,-1,-0.3333333333333333
1951-08-01,Aug,1951,-0.2,-0.7666666666666666
1951-09-01,Sep,1951,-1.1,-0.7666666666666666
1951-10-01,Oct,1951,-1,-0.9666666666666667
1951-11-01,Nov,1951,-0.8,-0.8333333333333333
1951-12-01,Dec,1951,-0.7,-0.8
1952-01-01,Jan,1952,-0.9,-0.7333333333333333
1952-02-01,Feb,1952,-0.6,-0.3333333333333333
1952-03-01,Mar,1952,0.5,-0.09999999999999999
1952-04-01,Apr,1952,-0.2,0.3666666666666667
1952-05-01,May,1952,0.8,0.43333333333333335
1952-06-01,Jun,1952,0.7,0.6666666666666666
1952-07-01,Jul,1952,0.5,0.4333333333333333
1952-08-01,Aug,1952,0.1,0.13333333333333333
1952-09-01,Sep,1952,-0.2,0.1
1952-10-01,Oct,1952,0.4,0.06666666666666667
1952-11-01,Nov,1952,0,-0.2666666666666666
1952-12-01,Dec,1952,-1.2,-0.3
1953-01-01,Jan,1953,0.3,-0.4666666666666666
1953-02-01,Feb,1953,-0.5,-0.13333333333333336
1953-03-01,Mar,1953,-0.2,-0.16666666666666666
1953-04-01,Apr,1953,0.2,-0.5666666666666667
1953-05-01,May,1953,-1.7,-0.4666666666666667
1953-06-01,Jun,1953,0.1,-0.5333333333333333
1953-07-01,Jul,1953,0,-0.36666666666666664
1953-08-01,Aug,1953,-1.2,-0.7999999999999999
1953-09-01,Sep,1953,-1.2,-0.7666666666666666
1953-10-01,Oct,1953,0.1,-0.4666666666666666
1953-11-01,Nov,1953,-0.3,-0.23333333333333334
1953-12-01,Dec,1953,-0.5,-0.03333333333333334
1954-01-01,Jan,1954,0.7,-0.033333333333333354
1954-02-01,Feb,1954,-0.3,0.2333333333333333
1954-03-01,Mar,1954,0.3,0.2
1954-04-01,Apr,1954,0.6,0.4666666666666666
1954-05-01,May,1954,0.5,0.39999999999999997
1954-06-01,Jun,1954,0.1,0.3333333333333333
1954-07-01,Jul,1954,0.4,0.5333333333333333
1954-08-01,Aug,1954,1.1,0.5666666666666667
1954-09-01,Sep,1954,0.2,0.5333333333333333
1954-10-01,Oct,1954,0.3,0.2
1954-11-01,Nov,1954,0.1,0.6
1954-12-01,Dec,1954,1.4,0.33333333333333326
1955-01-01,Jan,1955,-0.5,0.9333333333333333
1955-02-01,Feb,1955,1.9,0.6666666666666666
1955-03-01,Mar,1955,0.6,0.7999999999999999
1955-04-01,Apr,1955,-0.1,0.5
