Date,Year,Catch
Quarter 1,2002,8509
Quarter 1,2003,7531
Quarter 1,2004,10808.36
Quarter 1,2005,15394.69
Quarter 1,2006,14075.7
Quarter 1,2007,18779.21
Quarter 1,2008,18528.5
Quarter 1,2009,19640.76
Quarter 1,2010,20103.26
Quarter 1,2011,15672.6
Quarter 1,2012,16793
Quarter 1,2013,18551.7
Quarter 1,2014,15787.19
Quarter 1,2015,19935.3
Quarter 1,2016,21549.86
Quarter 1,2017,21286.32
Quarter 2,2002,7947
Quarter 2,2003,11114
Quarter 2,2004,12032.44
Quarter 2,2005,22759.71
Quarter 2,2006,24257.41
Quarter 2,2007,25185.14
Quarter 2,2008,22231.48
Quarter 2,2009,18437.68
Quarter 2,2010,21257.4
Quarter 2,2011,22266.82
Quarter 2,2012,23987.05
Quarter 2,2013,23501.72
Quarter 2,2014,21656.03
Quarter 2,2015,23311.19
Quarter 2,2016,23639.96
Quarter 2,2017,..
Quarter 3,2002,5662
Quarter 3,2003,8334
Quarter 3,2004,10036.16
Quarter 3,2005,17131.28
Quarter 3,2006,13162.52
Quarter 3,2007,15074.93
Quarter 3,2008,14469.7
Quarter 3,2009,12589.01
Quarter 3,2010,13090.77
Quarter 3,2011,13518.55
Quarter 3,2012,15263.68
Quarter 3,2013,15715.09
Quarter 3,2014,15890.17
Quarter 3,2015,17982.92
Quarter 3,2016,18444.83
Quarter 3,2017,..
Quarter 4,2002,8429
Quarter 4,2003,13072
Quarter 4,2004,13943.11
Quarter 4,2005,14915.4
Quarter 4,2006,15497.33
Quarter 4,2007,13561.86
Quarter 4,2008,13445.49
Quarter 4,2009,13083.24
Quarter 4,2010,13767.9
Quarter 4,2011,14435.14
Quarter 4,2012,14854.67
Quarter 4,2013,12625.39
Quarter 4,2014,12372.87
Quarter 4,2015,11667
Quarter 4,2016,10852.05
Quarter 4,2017,..
