length,unit,area,gear,freq
9.75,SL cm,4,drift gillnet,0
10.25,SL cm,4,drift gillnet,0
10.75,SL cm,4,drift gillnet,0
11.25,SL cm,4,drift gillnet,0
11.75,SL cm,4,drift gillnet,6
12.25,SL cm,4,drift gillnet,37
12.75,SL cm,4,drift gillnet,70
13.25,SL cm,4,drift gillnet,106
13.75,SL cm,4,drift gillnet,97
14.25,SL cm,4,drift gillnet,205
14.75,SL cm,4,drift gillnet,170
15.25,SL cm,4,drift gillnet,182
15.75,SL cm,4,drift gillnet,80
16.25,SL cm,4,drift gillnet,28
16.75,SL cm,4,drift gillnet,1
17.25,SL cm,4,drift gillnet,1
17.75,SL cm,4,drift gillnet,0
9.75,SL cm,6,drift gillnet,0
10.25,SL cm,6,drift gillnet,0
10.75,SL cm,6,drift gillnet,0
11.25,SL cm,6,drift gillnet,0
11.75,SL cm,6,drift gillnet,0
12.25,SL cm,6,drift gillnet,4
12.75,SL cm,6,drift gillnet,11
13.25,SL cm,6,drift gillnet,199
13.75,SL cm,6,drift gillnet,253
14.25,SL cm,6,drift gillnet,451
14.75,SL cm,6,drift gillnet,319
15.25,SL cm,6,drift gillnet,186
15.75,SL cm,6,drift gillnet,94
16.25,SL cm,6,drift gillnet,28
16.75,SL cm,6,drift gillnet,6
17.25,SL cm,6,drift gillnet,0
17.75,SL cm,6,drift gillnet,0
9.75,SL cm,combined,drift gillnet,0
10.25,SL cm,combined,drift gillnet,0
10.75,SL cm,combined,drift gillnet,0
11.25,SL cm,combined,drift gillnet,0
11.75,SL cm,combined,drift gillnet,6
12.25,SL cm,combined,drift gillnet,41
12.75,SL cm,combined,drift gillnet,81
13.25,SL cm,combined,drift gillnet,305
13.75,SL cm,combined,drift gillnet,350
14.25,SL cm,combined,drift gillnet,656
14.75,SL cm,combined,drift gillnet,489
15.25,SL cm,combined,drift gillnet,368
15.75,SL cm,combined,drift gillnet,174
16.25,SL cm,combined,drift gillnet,56
16.75,SL cm,combined,drift gillnet,7
17.25,SL cm,combined,drift gillnet,1
17.75,SL cm,combined,drift gillnet,0
